artist_name,track_name,track_id,subconscious_buying_influence_score,energy,valence,danceability,tempo,popularity
Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,85.64557272246611,0.86,0.6559999999999999,0.737,93.989,100
Calvin Harris,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,84.77772767949654,0.887,0.606,0.807,122.015,94
Lil Nas X,Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,83.48675518706767,0.619,0.639,0.878,136.041,93
Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,83.3660322945293,0.792,0.6709999999999999,0.687,100.015,96
Piso 21,Puntos Suspensivos,04cd1MHVq1D8v1nuTZoCdv,83.20512650532434,0.731,0.952,0.823,152.024,85
Lunay,Soltera,4T4CZ3Q4z3GG7lU720YYhM,83.18740316113595,0.731,0.8540000000000001,0.778,91.991,88
Lil Wayne,Let It Fly (feat. Travis Scott),0CBQ0m3mufWH75LTYB3s6h,83.1479688072432,0.8190000000000001,0.746,0.902,89.0,71
Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,83.13512715821723,0.552,0.615,0.935,99.993,88
Gabriel Diniz,Jenifer,5ixqGGFu0hdHfErdp32QwT,82.85382849675415,0.934,0.916,0.768,160.108,80
Logic,Keanu Reeves,25F6MWrnFBCXVnpN4n76EK,82.83171581550549,0.888,0.816,0.71,170.19299999999998,85
Kenny Man,Ni Gucci Ni Prada,32lexhcz93AinKK0qLTZaZ,82.7063453990313,0.6759999999999999,0.91,0.799,104.956,85
Clau,Pouca Pausa,2odzriVVZBwYOiYJEj30tm,82.09556375783158,0.583,0.883,0.8859999999999999,103.006,75
Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,81.82358113095067,0.726,0.65,0.816,136.048,89
Lil Yachty,Get Dripped (feat. Playboi Carti),3m2aDCqn8eT5ElXDUiboGU,81.7616516522948,0.489,0.919,0.95,130.02100000000002,76
Cardi B,Please Me,0PG9fbaaHFHfre2gUVo7AN,81.76026517045972,0.57,0.65,0.747,133.99200000000002,92
ITZY,달라달라 DALLA DALLA,6G7DuXoSGeAf6BZivJdEjF,81.72203550296857,0.853,0.713,0.79,124.998,82
Bad Bunny,¿Cual es tu plan?,4HRDBtek0ayfLQ6uc7rjO9,81.68769014120963,0.601,0.872,0.8220000000000001,96.123,73
Dave,Funky Friday,01IQ4aQgOf0Kkq3a273hmO,81.68432408011319,0.535,0.6709999999999999,0.975,125.066,76
Luis Fonsi,Échame La Culpa,0mlAOSILGRys2IbvyOT5VJ,81.66429511305581,0.897,0.649,0.733,96.006,78
Ghetto Kids,Tra Tra Tra,3MnQStkhHNhKuOy5Uk8mHv,81.5207578200541,0.6970000000000001,0.8420000000000001,0.813,79.98899999999999,71
Bryant Myers,Tanta Falta Remix,6GxEpbOvB4dXgRF2SLJliK,81.51231160845974,0.736,0.826,0.851,89.98299999999999,74
J Alvarez,Enamórate,7iHMZnAlkuZbD7KVhYQdK1,81.39108409838933,0.7909999999999999,0.818,0.8740000000000001,101.002,67
DaBaby,Carpet Burn,1N7CHs4eGjgr3gjyUgq75Y,81.28073451369356,0.8590000000000001,0.903,0.8240000000000001,77.973,62
Tee Grizzley,2 Vaults (feat. Lil Yachty),5Zx9VpLotu9aFYqq61NAip,81.21123386659825,0.586,0.657,0.921,96.042,69
Ninho,Un Poco,3MVTefqbeNX5yHFOmnHy3X,81.20815334960237,0.8320000000000001,0.946,0.767,99.992,66
Ozuna,Coméntale,7oCGD6Ccuw8JmYWw6IrI8z,81.09717122704112,0.674,0.7659999999999999,0.8440000000000001,103.002,73
The Gregory Brothers,The Muffin Song (asdfmovie),1LGv7Ah6TXp1soAAIzzuGC,81.08634805652811,0.8420000000000001,0.578,0.911,112.016,68
MC WM,Fuleragem,6tuzPD1zPPvwMbGiD0TBay,81.06674269048546,0.836,0.755,0.8079999999999999,94.979,70
Famous Dex,"Nervous (feat. Lil Baby, Jay Critch & Rich the Kid)",0n22yqkitWec0PV6tibWEO,80.96447168620159,0.732,0.8640000000000001,0.68,75.422,70
Joji,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,80.96234113158519,0.316,0.8440000000000001,0.9,129.914,78
Lil Pump,Esskeetit,44KKhCyI0BGS6LvVyDqJtH,80.85039263565601,0.506,0.696,0.932,139.974,76
El Alfa,Suave (Remix),0alWUvsJHk83HVWCnyCG51,80.76648233887424,0.913,0.433,0.873,120.006,70
Quando Rondo,ABG,1mHLxIGKfmWBdH1bZzO7pW,80.74499705339292,0.81,0.937,0.722,176.108,71
J Alvarez,Baila Mami,3hhtWLCuXY0GOx4vsL9u5z,80.66052861986044,0.83,0.8909999999999999,0.7490000000000001,95.006,65
Michael Bibi,Hanging Tree - Original Mix,7n0cOjwadpms08yfGEeyOQ,80.59898879121921,0.938,0.755,0.845,127.007,62
Mozart La Para,Mujeres,6xLvYhLOW2oETJoZv8ChU8,80.59464953414229,0.767,0.71,0.835,99.972,72
TWICE,YES or YES,1S6zXoXhfalX2ETKo337Md,80.50690410011393,0.913,0.735,0.7020000000000001,137.982,76
Maluma,La Ex (feat. Jason Derulo),18WYpqbNvkCXHTeyN2WG8l,80.47580209245044,0.8420000000000001,0.899,0.799,95.041,61
TWICE,Dance The Night Away,5ilOXZ0vqTX69rjRubPivH,80.45638652771338,0.861,0.78,0.711,118.004,72
Yung Gravy,Mr. Clean,5GxnROd93Y7NGt2ci0TwBw,80.43868483839188,0.701,0.626,0.758,106.74,76
El Alfa,Tecnobow (feat. Diplo),1roaN9AUTbYfiSDcpxdjr9,80.4009307653692,0.867,0.753,0.805,119.027,66
Lalo Ebratt,Mocca - Remix,1usoXi4f0BnMART4uActEA,80.39488034489845,0.758,0.78,0.732,98.007,78
Maluma,Hangover,30dTsIbEuISrnDeeE0BKp1,80.32298807321574,0.831,0.779,0.857,97.98,65
Flo Milli,Beef FloMix,52mXzUl4zRM6XC5hAxs1oh,80.3018158810763,0.555,0.873,0.903,116.043,66
Jack Harlow,SUNDOWN,0ipgd8PPFza3NNmN3Rn2uF,80.27895937144979,0.754,0.7040000000000001,0.816,92.023,66
Ninho,M.I.L.S 2.0,1qRZfv2ZbAZGPnfbIV3YvD,80.26469891240346,0.738,0.762,0.857,155.998,66
Katja Krasavice,Dicke Lippen,7wUCRyFNDf7ZemLGzQ7Km0,80.26222617270065,0.967,0.845,0.87,126.078,55
Eminem,Not Alike (feat. Royce Da 5'9),28FGV3ORH14MYORd7s5dlU,80.14568420123918,0.7559999999999999,0.342,0.904,140.005,77
DNCE,DANCE,7BfSU2ya7PZtqrl48urKqG,80.13785096549844,0.789,0.941,0.778,130.054,65
Romeo Santos,La Demanda,3zVibdZHsVH05p5Crux6xX,80.13339165508967,0.7120000000000001,0.951,0.865,122.021,68
